The downstairs maid,"['Clarke, Rosie']",English,2014,860757376,0091956099,9780091956097
War Baby.,"['Lane, Lizzie']",en,2015,908705991,0091956609,9780091956608
"A broken world : letters, diaries and memories of the Great War.","['Faulks, Sebastian']",en,2014,898157238,0091958938,9780091958930
Sons + fathers : words and images supporting the Irish Hospice Foundation,[],en,2015,923005483,0091959047,9780091959043
The Fleet Street disaster : British national newspapers as a case study in mismanagement,"['Cleverley, Graham, 1933-']",English,1976,2761872,0094609500,9780094609501
An anthology of erotic verse,[],English,1980,7179041,0094635005,9780094635005
"History of the war in the Peninsula and in the south of France, from the year 1807 to 1814","['Napier, William Francis Patrick, 1785-1860']",English,1995,672614656,0094716803,9780094716803
"Bertrand Russell, 1921-70 : the ghost of madness","['Monk, Ray']",English,2001,49772800,009927275X,9780099272755
Collected short stories [of] W. Somerset Maugham.,"['Maugham, W. Somerset (William Somerset), 1874-1965']",English,2000,,0099287390,9780099287391
Egyptian dawn,"['Temple, Robert K. G.']",English,2011,748237391,0099414686,9780099414681
Patrick O'Brian : the making of the novelist,"['Tolstoy, Nikolai']",English,2005,61260008,0099415844,9780099415848
A dangerous liaison : a revelatory new biography of Simone de Beauvoir and Jean-Paul Sartre,"['Seymour-Jones, Carole']",English,2009,369090677,0099481693,9780099481690
The innocent killer : the true story of a wrongful conviction and its astonishing aftermath,"['Griesbach, Michael']",en,2016,935984456,0099510839,9780099510833
"What your wartime granny could teach you about diet, thrift and going green","['Nicol, Patricia']",English,2010,620092388,0099521121,9780099521129
The echo man,"['Meddekis, Karin, [Translator]', 'Montanari, Richard']",en,2011,751796240,0099524783,9780099524786
The founding gardeners : how the revolutionary generation created an American Eden,"['Wulf, Andrea']",English,2012,758982711,0099525623,9780099525622
Forgotten,"['Lewis, Susan, 1956-']",English,2010,763164210,0099525747,9780099525745
A brighter dawn,"['Harris, Rosie, 1925-']",English,2011,746477643,0099527472,9780099527473
Empress Dowager Cixi : the concubine who launched modern China,"['Chang, Jung, 1952-']",en,2014,990729042,0099532395,9780099532392
Sympathy for the devil,"['Marks, Howard, 1945-2016']",English,2011,748847297,0099532735,9780099532736
Library of the dead,"['Cooper, Glenn, 1953-', 'Kraft, Hans-Peter [Translator; Author; Creator]']",English,2009,786218138,0099542544,9780099542544
Riptide,"['Kemp, Paul S. (Paul Stuart)']",en,2011,743473285,0099542846,9780099542841
It's only a movie : a cinematic autobiography 'inspired by real events',"['Kermode, Mark']",English,2010,653082323,0099543486,9780099543480
The new Machiavelli : how to wield power in the modern world,"['Powell, Jonathan, 1956-']",English,2011,751711324,0099546094,9780099546092
"Home intelligence reports on Britain's finest hour, May-September 1940",[],English,2011,751582021,0099548747,9780099548744
A mistletoe kiss,"['Flynn, Katie']",English,2010,805393555,0099550474,9780099550471
Christmas wishes,"['Flynn, Katie']",English,2011,752775795,0099550539,9780099550532
The runaway,"['Flynn, Katie']",en,2012,761379038,0099550571,9780099550570
I'm not really here,"['Lake, Paul, 1968-']",English,2012,792746579,0099553252,9780099553250
The week-end Wodehouse.,"['Wodehouse, P. G. (Pelham Grenville), 1881-1975']",English,2012,797975075,0099558149,9780099558149
Nine decades of radio voices.,"['Elmes, Simon']",English,2013,826658663,0099559781,9780099559788
The ladys maid,"['Court, Dilly']",English,2012,778325825,0099562553,9780099562559
One minute to midnight,"['Silver, Amy (Novelist)']",English,2011,751829428,0099564637,9780099564638
Confessions : the private school murders,"['Paetro, Maxine [Author]', 'Patterson, James, 1947-']",en,2013,951429824,0099567377,9780099567370
The prophet,"['Cross, Ethan', 'Schmidt, Dietmar, [Translator; Contributor]']",en,2012,828382105,0099570696,9780099570691
Vets in love,"['Woodman, Cathy']",English,2012,802293685,0099570947,9780099570943
Where the heart lies,"['McKinley, Tamara']",English,2013,809935884,0099574632,9780099574637
The woman in black : angel of death,"['Waites, Martyn']",en,2013,973610662,0099588498,9780099588498
"This is your life, Harriet Chance! : a novel","['Evison, Jonathan']",en,2015,957309412,0099592665,9780099592662
I will marry George Clooney (by Christmas),"['Bloom, Tracy, 1971-']",en,2014,945415582,0099594730,9780099594734
"Staying off the beaten track in Englishland &amp; Wales 1998 : a personal selection of moderately priced guest-houses, small hotels, farms and country houses","['Gundrey, Elizabeth']",English,1997,59603430,0099796414,9780099796411
The Fourth Wexford Omnibus incorporating Wolf To The Slaughter. Put On By Cunning. The Speaker Of Mandarin,"['Rendell, Ruth, 1930-2015']",English,1994,60006314,0099848007,9780099848004
"The defence review proposals : second report from the Expenditure Committee, session 1974-75, together with the minutes of the evidence taken on 21st January 1975 and part of the minutes of the evidence taken on 4th and 11th February 1975 before the Defence and External Affairs Sub-committee, and the proceedings of the Committee.",['Great Britain. Parliament. House of Commons. Expenditure Committee'],English,1975,16298725,0100225950,9780100225954
Justice and security : green paper.,['Grande-Bretagne. Ministry of justice'],English,2011,758436551,0101819420,9780101819428
Statute Law Repeals : nineteenth report : Draft Statute Law (Repeals) Bill,"['Great Britain.', 'Great Britain. Law Commission', 'Scottish Law Commission']",English,2012,790681415,0101833024,9780101833028
Human rights and democracy : the 2012 Foreign &amp; Commonwealth Office report,"['Great Britain. Foreign and Commonwealth Office', 'Great Britain.']",English,2012,798615173,010183392X,9780101833929
Report of the Mid Staffordshire NHS Foundation Trust Public Inquiry : executive summary.,['Mid Staffordshire NHS Foundation Trust'],English,2010,828717577,0102981477,9780102981476
Contempt of court (1) : juror misconduct and internet publications,['Great Britain. Law Commission'],English,2013,867572530,010298736X,9780102987362
The EU and the Middle East peace process : 26th report of session 2006-07.,['Great Britain. Parliament. House of Lords. European Union Committee'],und,2007,862668437,010401122X,9780104011225
Surveillance : citizens and the state : 2nd report of session 2008-09,['Great Britain. Parliament. House of Lords. Select Committee on the Constitution'],English,2009,335089329,0104014253,9780104014257
Money laundering and the financing of terrorism : 19th report of session 2008-09,['Great Britain. Parliament. House of Lords. European Union Committee'],English,2009,463238987,0108444694,9780108444692
"""Chekisms"" tales of the Cheka : a KGB anthology",[],English,2008,299709449,0108507092,9780108507090
The hero of Color City,"['Ricci, Christina']",English,1989,21112862,0110976207,9780110976204
Women's [and men's] costumes : London Museum.,"['Halls, Zillah']",English,1970,49093,0112900070,9780112900078
PRINCE 2 pocketbook,['Great Britain. Treasury. Central Computer and Telecommunications Agency'],English,2005,61424428,0113309856,9780113309856
"Guide to the location of collections described in the Reports and Calendars series, 1870-1980",['Great Britain.'],English,1982,9465022,0114401446,9780114401443
"List and analysis of state papers, foreign series : Elizabeth I",[],English,1989,468635870,0114402183,9780114402181
Digest of United Kingdom energy statistics 2010.,['Great Britain'],English,2010,851792861,0115155260,9780115155260
"Railway accident : Report on the collision that occurred on 30th August 1973 at Shields Junction in the Scottish Region, British Railways.",['Great Britain. Department of Transport'],English,1977,876861167,0115504532,9780115504532
Archaeological excavations,['Great Britain. Department of the Environment'],English,1976,59086994,011670781X,9780116707819
LASORS 2006 : the guide for pilots,[],English,2006,63170045,0117905011,9780117905016
International reserves: needs and availability; papers and proceedings.,['International Monetary Fund'],en,1970,2656775,0119813564,9780119813562
Chemistry of marine natural products,"['Scheuer, Paul J.']",en,1973,622054,0120240505,9780120240500
Advances in microbial physiology 9,"['Rose, Anthony H.']",en,1973,761031624,0120277093,9780120277094
Contemporary nonlinear optics,"['Agrawal, G. P. 1951- [Author; Editor; Other]', 'Boyd, Robert W., 1948- [Author; Editor; Other]']",English,1992,24380150,0120451352,9780120451357
"Pyrolysis, theory and industrial practice","['Crynes, Billy L., 1938-', 'Corcoran, William Harrison, 1920-', 'Albright, Lyle Frederick, 1921- [Editor]']",English,1983,8429813,0120488809,9780120488803
The Archaeology of Afghanistan from earliest times to the Timurid period,"['Allchin, F. Raymond (Frank Raymond), 1923-2010']",English,1978,4933523,0120504405,9780120504404
Databases in systematics,"['Systematics Association', 'Allkin, R. [Editor; Other]', 'Bisby, F. A. [Editor; Other]']",English,1984,10985331,0120530406,9780120530403
Transition metal organometallics in organic synthesis.,"['Alper, Howard']",en,1976,491249336,0120531011,9780120531011
Differential equations with applications to mathematical physics,"['Harrell, Evans M. [Author; Editor; Other]', 'Ames, William F. [Author; Editor; Other]', 'Herod, J. V., 1937- [Author; Editor; Other]']",English,1993,26928641,0120567407,9780120567409
The Revival of injured microbes,"['Russell, A. D. 1936- [Editor]', 'Andrew, M. H. E. [Editor]']",English,1984,11297443,0120585200,9780120585205
Attributions and psychological change : applications of attributional theories to clinical and education practice,"['Brewin, Chris [Editor; Other]', 'Antaki, Charles [Editor; Other]']",English,1982,8815906,0120587807,9780120587803
Bacterial energy transduction,"['Anthony, C. [Author; Editor; Other]']",English,1988,21039049,0120588153,9780120588152
Mechanisms of sex differentiation in animals and man,"['Edwards, R. G. 1925-2013 [Author; Editor; Other]', 'Austin, C. R. 1914-2004 [Author; Editor; Other]']",English,1981,7973845,012068540X,9780120685400
Research on exemplary schools,"['Austin, Gilbert R. [Author; Editor; Other]', 'Garber, Herbert [Author; Editor; Other]']",English,1985,11812887,0120685906,9780120685905
Pathology of oxygen,"['Autor, Anne Pomeroy [Author; Other]']",English,1982,8865397,0120686201,9780120686209
Population dynamics of rabies in wildlife,"['Bacon, Philip J. [Editor]']",English,1985,11599180,0120713500,9780120713509
"Automation, mechanization and data handling in microbiology","['Baillie, Ann [Author; Editor]', 'Gilbert, R. J. [Author; Editor]', 'Imperial College of Science and Technology.']",English,1973,95900,0120736500,9780120736508
Animal virology,"['Fox, C. Fred', 'Huang, Alice S', 'Baltimore, David [Editor]']",en,1976,925021460,0120773503,9780120773503
